location_PK,DIVISION,LONG_WGS84,LAT_WGS84
1647,D32,-79.4400114919136,43.7361200547674
1648,D22,-79.5685615829194,43.6555045214435
1649,D31,-79.5707372357399,43.7636058174777
1650,D32,-79.4076386603787,43.7760899920622
1651,D43,-79.1780560065485,43.7613783132181
1652,D23,-79.5517005881791,43.6789287700923
1653,D32,-79.433102436076,43.7888221183263
1654,D32,-79.448024534828,43.7595807154056
1655,D41,-79.3034821837126,43.751454231596
1656,D41,-79.2587780253886,43.7360490814447
1657,D14,-79.4170977276328,43.6386447806179
1658,D32,-79.4581383300972,43.7290997520093
1659,D43,-79.2495232592373,43.7512138754218
1660,D41,-79.2879547061284,43.746817049435
1661,D14,-79.4062569376327,43.6661614100017
1662,D42,-79.2590833492665,43.8048688442009
1663,D41,-79.2779092975924,43.730061870736
1664,D41,-79.2764322715658,43.69478652596
1665,D55,-79.3486115724183,43.6591490006346
1666,D53,-79.4203809120963,43.7064696746309
1667,D43,-79.2401763989406,43.7566570841176
1668,D41,-79.2848249105582,43.7475142523323
1669,D32,-79.450105068994,43.7339780473285
1670,D42,-79.3079057744438,43.7787335273298
1671,D43,-79.2391750323229,43.7213550947994
1672,D42,-79.3155018958658,43.807587330509
1673,D41,-79.2491653183274,43.7191910968543
1674,D32,-79.4502624475957,43.7871796258624
1675,D41,-79.3005036689161,43.7278872515901
1676,D22,-79.523501696431,43.5995048867719
1677,D23,-79.5764704747356,43.7436264756613
1678,D23,-79.5759208864869,43.6988066641709
1679,D41,-79.2749577255026,43.7495992615044
1680,D31,-79.4836828490167,43.7335713504601
1681,D43,-79.1883093934163,43.7865851922838
1682,D31,-79.5683224944661,43.7522913937591
1683,D23,-79.5354726800978,43.6876357832936
1684,D22,-79.5421289810884,43.5886643568707
1685,D32,-79.4162855680269,43.7685487878757
1686,D42,-79.3129511773164,43.7850155446662
1687,D52,-79.3834067466836,43.6621309012347
1688,D33,-79.3446250134527,43.7348419111294
1689,D43,-79.1824159074962,43.7676253019902
1690,D32,-79.4487239353657,43.7855004148449
1691,D23,-79.5614320629709,43.7210480170072
1692,D43,-79.2267740558493,43.7299717907569
1693,D11,-79.4762613201545,43.6511340512412
1694,D13,-79.4436610791146,43.7016931596298
1695,D13,-79.4505288172627,43.6762050187581
1696,D14,-79.426037024653,43.6392257834165
1697,D13,-79.4402696824571,43.702405760324
1698,D42,-79.1707983052681,43.8083702849557
1699,D43,-79.2630984135941,43.775336955038
1700,D11,-79.4745966226878,43.6663313606117
1701,D12,-79.503418148435,43.7015664563909
1702,D41,-79.2748285962333,43.7255689801883
1703,D51,-79.3819115465038,43.658675197779
1704,D53,-79.4091966260387,43.7130943792841
1705,D41,-79.2600366047052,43.7165243026298
1706,D32,-79.3960053146499,43.759020288106
1707,D13,-79.4493839172295,43.676475617734
1708,D22,-79.5473585877848,43.6491862321233
1709,D51,-79.3692940566865,43.6639882030919
1710,D54,-79.3424466252606,43.6930307086238
1711,D22,-79.4902109073521,43.6400916082353
1712,D51,-79.3732610583691,43.6713330110854
1713,D53,-79.3854348785383,43.6919533627883
1714,D54,-79.3560084882886,43.6783652505631
1715,D51,-79.3694984547727,43.6586558977596
1716,D12,-79.4835576134251,43.6689871469503
1717,D41,-79.2837814736926,43.7054731047405
1718,D32,-79.424855214963,43.7296818647623
1719,D23,-79.5412866768698,43.6898980836113
1720,D55,-79.3530535698659,43.6620511035086
1721,D23,-79.6042074132972,43.7060265384132
1722,D33,-79.3066417588438,43.7250547512747
1723,D32,-79.4128324572567,43.7755353941288
1724,D54,-79.3103822474232,43.6939322129265
1725,D22,-79.5113788961717,43.6474101526798
1726,D22,-79.5526769951871,43.6630570860092
1727,D22,-79.5072745972391,43.6464112636845
1728,D53,-79.3688344993062,43.6964068794873
1729,D31,-79.5647097361969,43.7664840165964
1730,D42,-79.1757121884244,43.8014054912254
1731,D12,-79.4876543455482,43.7063712528065
1732,D33,-79.3597408297222,43.7518455007691
1733,D52,-79.3889099395405,43.6488107879144
1734,D41,-79.278069478337,43.7050017092829
1735,D14,-79.4253213248916,43.6373531806811
1736,D14,-79.4202579265794,43.6549029002662
1737,D41,-79.2672454745724,43.6901097380211
1738,D41,-79.3084499710503,43.7387938353503
1739,D11,-79.449599916923,43.6587082144636
1740,D55,-79.3408525882259,43.6664367346822
1741,D22,-79.488837314617,43.6241802628804
1742,D42,-79.1948644735259,43.8030708929649
1743,D33,-79.3523546398634,43.7906241396084
1744,D31,-79.5212620132519,43.7659714853227
1745,D43,-79.228995897083,43.7878829937324
1746,D14,-79.408309930562,43.6480832899571
1747,D53,-79.4048602409829,43.6724191159208
1748,D51,-79.3743374529688,43.6629221020259
1749,D31,-79.5333782812968,43.7332804458616
1750,D22,-79.519864189754,43.6608732725607
1751,D12,-79.4731853964417,43.6858328996356
1752,D43,-79.2203522912093,43.7465519858192
1753,D41,-79.2795256756345,43.7032428112436
1754,D43,-79.1733518032954,43.7901283857783
1755,D12,-79.534526332596,43.7097065340631
1756,D31,-79.5008508050741,43.7703691741278
1757,D33,-79.3454642473884,43.785304123802
1758,D55,-79.334851918369,43.6809451915263
1759,D22,-79.5098193283004,43.6205738590659
1760,D54,-79.3449641175063,43.688124098741
1761,D32,-79.3950379898665,43.7732208915904
1762,D12,-79.5007894731456,43.6912647754239
1763,D22,-79.5622399023287,43.6724169195159
1764,D52,-79.3921757377494,43.6474507865544
1765,D32,-79.4151580340049,43.7306301710404
1766,D55,-79.3372987149183,43.6804291862563
1767,D31,-79.5151092085894,43.7470809737211
1768,D32,-79.4355347238054,43.7435598658431
1769,D53,-79.3914794666364,43.6886441481969
1770,D43,-79.2220962800015,43.742479984694
1771,D13,-79.4298942999899,43.7000549691413
1772,D42,-79.2875668134311,43.816233703521
1773,D22,-79.4975558192148,43.6222800173435
1774,D33,-79.3097814742512,43.7421396318155
1775,D23,-79.6054384654354,43.7391215624093
1776,D43,-79.2470149604014,43.7805364765022
1777,D55,-79.3377450784935,43.6516436019268
1778,D41,-79.262884196908,43.7115747091976
1779,D42,-79.2323656777838,43.8153019694176
1780,D14,-79.4347921217346,43.6339777793376
1781,D13,-79.4129988359043,43.6894312131913
1782,D42,-79.207125886268,43.8119517152555
1783,D55,-79.3305759091685,43.6703435691271
1784,D55,-79.284093554511,43.6703955419315
1785,D22,-79.4903308321534,43.6085612211472
1786,D52,-79.3827009420866,43.6394490778127
1787,D13,-79.4427556189166,43.6771386177335
1788,D14,-79.4149297283899,43.6504982945787
1789,D14,-79.4315431228191,43.6583401079583
1790,D13,-79.434131597874,43.6974419698472
1791,D51,-79.3686206531868,43.6521425912462
1792,D43,-79.1960009011566,43.7556413926696
1793,D31,-79.4976330248007,43.7565912756264
1794,D42,-79.2344892748417,43.7970389929081
1795,D42,-79.170730302472,43.8048478860384
1796,D32,-79.435715524873,43.744249866262
1797,D12,-79.4971848918266,43.6797521061419
1798,D32,-79.4513232213829,43.7554028014915
1799,D11,-79.4430917210282,43.664515818336
1800,D41,-79.3014195729292,43.763863922148
1801,D32,-79.3965635664391,43.7904045081458
1802,D43,-79.1945679040575,43.7617127931187
1803,D31,-79.5382183822886,43.7337424509727
1804,D14,-79.3944449351836,43.6402448793485
1805,D53,-79.3992678380855,43.7190962820278
1806,D22,-79.4936408138269,43.6258745468944
1807,D23,-79.5569925827343,43.6853613817342
1808,D33,-79.3360519672962,43.7953732734197
1809,D32,-79.4601103117171,43.7210128541803
1810,D32,-79.4185103597904,43.7737764988183
1811,D41,-79.2667206967539,43.7152540025212
1812,D31,-79.5522637891285,43.7499487832599
1813,D13,-79.4403178998711,43.6914819761655
1814,D55,-79.3127723432651,43.6856815236735
1815,D52,-79.3851928438504,43.6554174945212
1816,D22,-79.5596833035959,43.6667661807696
1817,D31,-79.5172536115751,43.7507427803012
1818,D43,-79.1862138067492,43.7684035984007
1819,D51,-79.3738671507658,43.6553721944759
1820,D42,-79.1727063120192,43.8150625926809
1821,D32,-79.4111580293542,43.7981777123504
1822,D32,-79.4298041912576,43.7192548623158
1823,D54,-79.3255656304604,43.6829401096413
1824,D55,-79.3227482229379,43.6745374937295
1825,D53,-79.3538104125653,43.7121749690274
1826,D33,-79.3562596319893,43.8099872536898
1827,D51,-79.3823688518969,43.6712191103228
1828,D42,-79.2469810499455,43.7830860748589
1829,D23,-79.6199106883662,43.7235825127621
1830,D14,-79.4207636264108,43.6493274938724
1831,D13,-79.4393785904845,43.6980329659556
1832,D12,-79.4703660893965,43.6912238838035
1833,D22,-79.4929091405204,43.6030668058736
1834,D11,-79.4681908194986,43.6563163410307
1835,D22,-79.5417169888764,43.6403729201033
1836,D54,-79.3505274095206,43.6870519897569
1837,D41,-79.2970939636434,43.7114635847875
1838,D32,-79.4557740324822,43.7824861235226
1839,D53,-79.3934473674191,43.6916161493671
1840,D52,-79.3897247386646,43.6465989857026
1841,D11,-79.4991985053962,43.6655199467144
1842,D32,-79.4311898402259,43.7432933703993
1843,D32,-79.4039038144616,43.7559307884816
1844,D23,-79.5920791619838,43.6726893223202
1845,D14,-79.4127009290983,43.6419045838271
1846,D33,-79.3738443205726,43.7638452934649
1847,D23,-79.5991708938443,43.7180962653955
1848,D43,-79.2237768716353,43.7385624860288
1849,D53,-79.3756005910175,43.6940379731888
1850,D31,-79.4910422999373,43.7634971560737
1851,D32,-79.4114256366169,43.730325773183
1852,D51,-79.3595103613171,43.6583129974168
1853,D32,-79.4390311250744,43.757768377439
1854,D42,-79.2203856699613,43.8012673937129
1855,D13,-79.4514285891522,43.693145369863
1856,D33,-79.3221095616959,43.7470048209714
1857,D11,-79.4524011203043,43.6654783292331
1858,D41,-79.2853725629199,43.6906309280194
1859,D22,-79.5287245948914,43.6487878006203
1860,D42,-79.28595020943,43.7924025865895
1861,D55,-79.3328025963862,43.6626795421716
1862,D43,-79.2211273571139,43.7269064956786
1863,D12,-79.5177410520944,43.7005962649403
1864,D42,-79.2177098690006,43.8020498941872
1865,D33,-79.3684582161551,43.8058408384011
1866,D54,-79.2996401571369,43.7006732046709
1867,D13,-79.4474631199634,43.6752103225919
1868,D42,-79.2208911746088,43.8055515002456
1869,D55,-79.3352276105912,43.6757176762213
1870,D22,-79.5117455956092,43.6482539547105
1871,D51,-79.3710657513763,43.6516011907048
1872,D31,-79.5422984196485,43.7684461919377
1873,D32,-79.4245492137257,43.7289143647104
1874,D53,-79.3911884545533,43.7111331085345
1875,D33,-79.3182606718243,43.7644912223003
1876,D53,-79.4017118397322,43.7060517009344
1877,D41,-79.2664465936173,43.7118464082857
1878,D23,-79.5825381844415,43.7191124674584
1879,D52,-79.387508540497,43.6506728897765
1880,D41,-79.266448518602,43.7380180750185
1881,D33,-79.3334846620257,43.7611758168503
1882,D12,-79.5009491730902,43.6913298753252
1883,D42,-79.3013494963333,43.7930119889193
1884,D11,-79.4508828179229,43.6618679199837
1885,D33,-79.3686996149301,43.7826389046304
1886,D41,-79.3030944791091,43.7393447398514
1887,D41,-79.2711960059633,43.7314294760069
1888,D11,-79.4528012157317,43.6533312083673
1889,D33,-79.3043878644161,43.728905547643
1890,D13,-79.411589041531,43.6856842251158
1891,D51,-79.3770179502708,43.6601890992929
1892,D42,-79.3209626980283,43.8063448243526
1893,D42,-79.3138673834081,43.7921758792789
1894,D11,-79.4788793205458,43.6655605593665
1895,D33,-79.3680555237825,43.7900071272889
1896,D12,-79.4935064430407,43.7134297472808
1897,D23,-79.5746312751221,43.7281388645008
1898,D33,-79.3547249434761,43.7926556486918
1899,D42,-79.2479281779669,43.8239623986682
1900,D42,-79.2172968884279,43.8160235572233
1901,D31,-79.5321863737972,43.7318223272555
1902,D52,-79.390665640027,43.6524201915239
1903,D42,-79.2704179119789,43.7855965571258
1904,D55,-79.2849516577536,43.6807274404663
1905,D13,-79.4402368229618,43.6712904225304
1906,D22,-79.5420776859812,43.6122588032303
